T - Tref + 56,2c
0.000000,76.250000
1.000000,76.928574
2.000000,78.571426
3.000000,79.910713
4.000000,81.547623
5.000000,82.738098
6.000000,84.047623
7.000000,85.714287
8.000000,87.321426
9.000000,88.988098
10.000000,91.000000
11.000000,92.857140
12.000000,94.821426
13.000000,96.928574
14.000000,98.928574
15.000000,101.250000
16.000000,103.214287
17.000000,105.238098
18.000000,107.714287
19.000000,110.089287
20.000000,112.500000
21.000000,115.142860
22.000000,117.321426
23.000000,119.821426
24.000000,122.755104
25.000000,125.625000
26.000000,128.428574
27.000000,131.488098
28.000000,134.285721
29.000000,136.964279
30.000000,140.000000
31.000000,143.125000
32.000000,146.285721
33.000000,149.642853
34.000000,153.452377
35.000000,158.112244
36.000000,162.797623
37.000000,168.535721
38.000000,175.595245
39.000000,183.586304
40.000000,192.410721
41.000000,199.583328
