T - Tref + 56,2c
0.000000,19.642857
1.000000,19.880953
2.000000,20.000000
3.000000,20.267857
4.000000,20.357143
5.000000,20.357143
6.000000,20.428572
7.000000,20.625000
8.000000,20.928572
9.000000,21.071428
10.000000,21.339285
11.000000,21.571428
12.000000,21.785715
13.000000,21.785715
14.000000,21.785715
15.000000,22.410715
16.000000,22.589285
17.000000,22.857143
18.000000,23.214285
19.000000,23.571428
20.000000,23.928572
21.000000,24.017857
22.000000,24.404762
23.000000,24.642857
24.000000,25.178572
25.000000,25.476191
26.000000,25.982143
27.000000,26.250000
28.000000,26.666666
29.000000,27.232143
30.000000,27.946428
31.000000,28.452381
32.000000,29.047619
33.000000,29.761906
34.000000,30.476191
35.000000,31.190475
36.000000,31.666666
37.000000,32.767857
38.000000,33.571430
39.000000,34.732143
40.000000,35.892857
41.000000,37.023811
42.000000,38.392857
43.000000,39.910713
44.000000,41.071430
45.000000,42.357143
46.000000,44.375000
47.000000,46.642857
48.000000,49.285713
49.000000,52.321430
50.000000,56.020409
51.000000,60.059525
52.000000,63.928570
53.000000,68.214287
54.000000,73.273811
55.000000,78.520409
56.000000,84.540817
57.000000,92.698410
58.000000,101.642860
59.000000,112.627548
60.000000,123.311691
61.000000,138.137756
62.000000,154.081635
63.000000,172.105270
64.000000,187.755096
65.000000,199.464279
