T - Tref + 56,2c
0.000000,10.089286
1.000000,10.000000
2.000000,10.000000
3.000000,10.000000
4.000000,10.000000
5.000000,10.133928
6.000000,10.357142
7.000000,10.357142
8.000000,10.535714
9.000000,10.714286
10.000000,10.714286
11.000000,10.714286
12.000000,10.833333
13.000000,10.892858
14.000000,11.026786
15.000000,11.071428
16.000000,11.071428
17.000000,11.369047
18.000000,11.517858
19.000000,11.428572
20.000000,11.666667
21.000000,11.785714
22.000000,11.904762
23.000000,12.142858
24.000000,12.142858
25.000000,12.380953
26.000000,12.500000
27.000000,12.500000
28.000000,12.857142
29.000000,13.214286
30.000000,13.214286
31.000000,13.392858
32.000000,13.571428
33.000000,13.869047
34.000000,14.107142
35.000000,14.047619
36.000000,14.464286
37.000000,14.642858
38.000000,14.821428
39.000000,15.267858
40.000000,15.357142
41.000000,15.714286
42.000000,16.309525
43.000000,16.428572
44.000000,16.904762
45.000000,17.142857
46.000000,17.633928
47.000000,17.857143
48.000000,18.214285
49.000000,18.571428
50.000000,19.047619
51.000000,19.523809
52.000000,20.178572
53.000000,20.535715
54.000000,21.250000
55.000000,21.562500
56.000000,22.380953
57.000000,23.214285
58.000000,23.809525
59.000000,24.196428
60.000000,25.119047
61.000000,25.785715
62.000000,26.517857
63.000000,27.410715
64.000000,28.750000
65.000000,29.821428
66.000000,30.714285
67.000000,31.785715
68.000000,32.857143
69.000000,34.107143
70.000000,35.535713
71.000000,36.785713
72.000000,37.857143
73.000000,39.464287
74.000000,41.250000
75.000000,43.035713
76.000000,44.523811
77.000000,46.785713
78.000000,48.571430
79.000000,50.357143
80.000000,52.678570
81.000000,54.404762
82.000000,56.666668
83.000000,59.285713
84.000000,61.547619
85.000000,64.375000
86.000000,67.678574
87.000000,70.446426
88.000000,72.857140
