MYS (MPa),A (°C),B (°C),C (°C),D (°C)
200,55,33,12,-2
210,50,29,8,-7
220,46,25,4,-11
230,43,22,1,-14
240,40,19,-2,-16
250,38,17,-4,-19
260,36,15,-6,-21
270,34,13,-8,-23
280,32,11,-10,-24
290,31,10,-11,-26
300,30,8,-13,-27
310,28,7,-14,-28
320,27,6,-15,-30
330,26,5,-16,-31
340,25,4,-17,-32
360,23,2,-19,-34
380,21,0,-21,-36
400,19,-2,-23,-37
420,18,-3,-24,-39
440,16,-5,-26,-40
460,15,-6,-27,-42
480,14,-7,-28,-43
500,13,-8,-29,-44
520,12,-9,-30,-45
540,11,-10,-31,-46
560,10,-11,-32,-47
